Type,URL,Listing Agent,Price,Address,Beds,Showers,Cars,Location Type,Size of the property,Description,Features
Buy,https://www.funda.nl/en/koop/purmerend/huis-41984845-roggebotstraat-87/,tel:0299 47 20 21,"€ 275,000",Roggebotstraat 87 | 1443 KM Purmerend,5 rooms (4 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, row house",107m²,None,None
Buy,https://www.funda.nl/en/koop/uithoorn/huis-41983213-gaastmeer-28/,tel:0634080366,"€ 385,000",Gaastmeer 28 | 1423 DD Uithoorn,4 rooms (3 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, corner house",120m²,None,None
Buy,https://www.funda.nl/en/koop/amsterdam/+15km/,None,None,None,None,None,None,None,None,None,None
Buy,https://www.funda.nl/en/koop/hoofddorp/huis-41962896-bunderbos-130/,tel:023-2052143,"€ 325,000",Bunderbos 130 | 2134 RW Hoofddorp,5 rooms (4 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, row house",101m²,None,None
Buy,https://www.funda.nl/en/koop/bussum/huis-41962747-constantijn-huijgenslaan-8/,tel:035-6933544,"€ 895,000",Constantijn Huijgenslaan 8 | 1401 AM Bussum,5 rooms (4 bedrooms),2 bathrooms and 2 separate toilets,1 car,"Single-family home, double house",159m²,None,None
Buy,https://www.funda.nl/en/koop/amsterdam/huis-41962411-nathan-f-israelweg-6/,None,"€ 585,000",Nathan F. Israëlweg 6 | 1035 SC Amsterdam,None,None,None,None,None,None,None
Buy,https://www.funda.nl/en/koop/amsterdam/+15km/p2/,None,None,None,None,None,None,None,None,None,None
Buy,https://www.funda.nl/en/koop/krommenie/huis-41961703-mirandastraat-11/,tel:075-6426010,"€ 400,000",Mirandastraat 11 | 1562 ZW Krommenie,5 rooms (4 bedrooms),1 bathroom and 1 separate toilet,1 car,"Single-family home, corner house",139m²,None,None
Buy,https://www.funda.nl/en/koop/heemskerk/huis-41961792-noordermaatweg-5/,None,"€ 639,000",Noordermaatweg 5 | 1968 LP Heemskerk,6 rooms (5 bedrooms),2 bathrooms and 1 separate toilet,1 car,"Single-family home, semi-detached residential property",166m²,None,None
Buy,https://www.funda.nl/en/koop/oostzaan/huis-41961767-jollenmakersweg-31/,None,"€ 425,000",Jollenmakersweg 31 | 1511 DA Oostzaan,5 rooms (4 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, row house",129m²,None,None
Buy,https://www.funda.nl/en/koop/krommenie/huis-41961703-mirandastraat-11/,tel:075-6426010,"€ 400,000",Mirandastraat 11 | 1562 ZW Krommenie,5 rooms (4 bedrooms),1 bathroom and 1 separate toilet,1 car,"Single-family home, corner house",139m²,None,None
Buy,https://www.funda.nl/en/koop/haarlem/huis-41961632-waalstraat-10/,None,"€ 200,000",Waalstraat 10 | 2025 RV Haarlem,4 rooms (3 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, row house",62m²,None,None
Buy,https://www.funda.nl/en/koop/amsterdam/+15km/p3/,None,None,None,None,None,None,None,None,None,None
Buy,https://www.funda.nl/en/koop/weesp/huis-41969252-het-buitenhof-7/,None,None,None,None,None,None,None,None,None,None
Buy,https://www.funda.nl/en/koop/purmerend/huis-41969254-monteverdistraat-36/,None,"€ 350,000",Monteverdistraat 36 | 1447 NA Purmerend,4 rooms (3 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, corner house",110m²,None,None
Buy,https://www.funda.nl/en/koop/amsterdam/+15km/p4/,None,None,None,None,None,None,None,None,None,None
Buy,https://www.funda.nl/en/koop/hilversum/huis-41969602-van-beuningenstraat-27/,tel:035-642 44 74,"€ 499,000",Van Beuningenstraat 27 | 1215 GR Hilversum,6 rooms (5 bedrooms),2 bathrooms and 2 separate toilets,None,"Single-family home, row house",125m²,None,None
Buy,https://www.funda.nl/en/koop/amstelveen/huis-41969606-kromoord-15/,tel:020-6459446,"€ 575,000",Kromoord 15 | 1188 JG Amstelveen,4 rooms (3 bedrooms),1 bathroom and 1 separate toilet,2 cars,"Single-family home, semi-detached residential property",113m²,None,None
Buy,https://www.funda.nl/en/koop/wormer/huis-41969435-de-bakkerij-15/,None,"€ 550,000",De Bakkerij 15 | 1531 PW Wormer,5 rooms (3 bedrooms),1 bathroom and 1 separate toilet,1 car,"Single-family home, detached residential property",156m²,None,None
Buy,https://www.funda.nl/en/koop/wormer/huis-41968387-lisboa-73/,tel:075-2500000,"€ 285,000",Lisboa 73 | 1531 BM Wormer,4 rooms (3 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, corner house",78m²,None,None
Buy,https://www.funda.nl/en/koop/huizen/huis-41968235-kortenaerstraat-2/,None,"€ 450,000",Kortenaerstraat 2 | 1271 SP Huizen,4 rooms (3 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, corner house",89m²,None,None
